Model,Class,Precision,Recall,F1,Support,OvR ROC-AUC
Logistic Regression,Dropout,0.826271186440678,0.6866197183098591,0.75,284,0.9129443884605469
Logistic Regression,Enrolled,0.42386831275720166,0.6477987421383647,0.5124378109452736,159,0.8120137914306009
Logistic Regression,Graduate,0.8694581280788177,0.7986425339366516,0.8325471698113207,442,0.9253189381326415
K-Nearest Neighbors,Dropout,0.7857142857142857,0.6584507042253521,0.7164750957854407,284,0.860974080757423
K-Nearest Neighbors,Enrolled,0.44761904761904764,0.29559748427672955,0.3560606060606061,159,0.7163314101564531
K-Nearest Neighbors,Graduate,0.7361623616236163,0.9027149321266968,0.8109756097560976,442,0.8693324004371674
Gaussian Naive Bayes,Dropout,0.584070796460177,0.2323943661971831,0.33249370277078083,284,0.734321904806543
Gaussian Naive Bayes,Enrolled,0.19921363040629095,0.9559748427672956,0.3297180043383948,159,0.5676577091671431
Gaussian Naive Bayes,Graduate,0.6666666666666666,0.013574660633484163,0.026607538802660754,442,0.7692333227786686
Decision Tree Classifier,Dropout,0.7907949790794979,0.6654929577464789,0.722753346080306,284,0.879200745236812
Decision Tree Classifier,Enrolled,0.42142857142857143,0.3710691823899371,0.39464882943143814,159,0.7557738621203458
Decision Tree Classifier,Graduate,0.7766798418972332,0.8891402714932126,0.8291139240506329,442,0.896177849504101
Support Vector Classifier,Dropout,0.8197424892703863,0.6725352112676056,0.7388781431334622,284,0.9072379367720466
Support Vector Classifier,Enrolled,0.4155844155844156,0.6037735849056604,0.49230769230769234,159,0.7594209678257706
Support Vector Classifier,Graduate,0.8408551068883611,0.8009049773755657,0.8203939745075318,442,0.926243322472243
