Model,Test R2,Test RMSE (MWh),Test MAE (MWh),CV Mean R2,CV Std R2
Random Forest Regressor,0.9951055774688873,1.1318231914707697,0.8536358206933874,0.9857722737799011,0.01759438448160016
Gradient Boosting Regressor,0.993268872713338,1.3273081488603184,1.0386865483743182,0.9860481620965829,0.014415835664090394
Decision Tree Regressor,0.990594758515027,1.5689634787388989,1.2079577464788729,0.9823563700901111,0.016091618441466237
Lasso Regression,0.9865707899426065,1.8747920041530135,1.3323465579549763,0.9910997291130125,0.010269219080013804
Polynomial Regression,0.9856588964411356,1.9373993292986518,1.369418473524767,0.9870171533641006,0.01906136049896642
Linear Regression,0.9856588964411356,1.937399329298653,1.369418473524757,0.9870171533641006,0.01906136049896643
Ridge Regression,0.9799006244360813,2.2936077199136,1.6376750346726792,0.9924841690105577,0.006887388816938467
Support Vector Regressor,0.9767703883349996,2.4657488198058366,1.6511177818486549,0.9880278263231876,0.01670267360737444
ElasticNet Regression,0.9685546260595733,2.868839427376391,2.022412240276864,0.9933473044107,0.003727622137793536
K-Nearest Neighbors Regressor,0.9603239819900632,3.222492375410393,2.2300343184999996,0.9863674441342389,0.0034142022628647017
